id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/802629	10.2307/802629	A Project in High-School Journalism	Clara M. Ryan	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 129-130	National Council of Teachers of English	fla			
10.2307/803008	10.2307/803008	Do Engineering Students Want to Study English Composition?	W. Otto Birk	The English Journal	10	9	1921-11-01T00:00:00Z	pp. 526-530	National Council of Teachers of English	fla			
10.2307/802886	10.2307/802886	Pupil Choices of Books	Clarence Stratton	The English Journal	13	6	1924-06-01T00:00:00Z	pp. 422-425	National Council of Teachers of English	fla			
10.2307/802635	10.2307/802635	The Second Prize Award	Esther Sabel, Helen W. Cosgrove, Louise F. Belden, Sarah Elder, Margaret Ballantine	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 139-142	National Council of Teachers of English	fla			
10.2307/802675	10.2307/802675	Shall We Teach Gender?	A. L. Phillips	The English Journal	11	1	1922-01-01T00:00:00Z	pp. 23-27	National Council of Teachers of English	fla			
10.2307/802273	10.2307/802273	Volume Information		The English Journal	9	10	1920-12-01T00:00:00Z	pp. 609-611	National Council of Teachers of English	mis			
10.2307/802898	10.2307/802898	Robert Bridges, Poet Laureate of England	Edward Davison	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 749-760	National Council of Teachers of English	fla			
10.2307/802836	10.2307/802836	Teaching the Paragraph	Leon Mones	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 456-460	National Council of Teachers of English	fla			
10.2307/801989	10.2307/801989	Book Notices		The English Journal	14	3	1925-03-01T00:00:00Z	pp. 256-260	National Council of Teachers of English	mis			
10.2307/802300	10.2307/802300	Editorial: Daybreak. Suggestion in Our Classrooms		The English Journal	13	8	1924-10-01T00:00:00Z	pp. 598-599	National Council of Teachers of English	fla			
10.2307/802868	10.2307/802868	The Correlation of English in College and High School	Hardin Craig	The English Journal	10	3	1921-03-01T00:00:00Z	pp. 165-167	National Council of Teachers of English	fla			
10.2307/802807	10.2307/802807	Some Principles Underlying Grading	Florence Y. Humphries	The English Journal	12	1	1923-01-01T00:00:00Z	pp. 33-38	National Council of Teachers of English	fla			
10.2307/802616	10.2307/802616	Editorial: Plausible Assumptions		The English Journal	12	4	1923-04-01T00:00:00Z	p. 282	National Council of Teachers of English	fla			
10.2307/802883	10.2307/802883	Seventeen	Charles Ballard	The English Journal	13	6	1924-06-01T00:00:00Z	p. 416	National Council of Teachers of English	fla			
10.2307/802435	10.2307/802435	Book Notices		The English Journal	12	6	1923-06-01T00:00:00Z	pp. 433-436+438	National Council of Teachers of English	mis			
10.2307/802043	10.2307/802043	Editorial: A Rediscovered Objective. The "Setting" for Drill		The English Journal	12	9	1923-11-01T00:00:00Z	pp. 633-634	National Council of Teachers of English	fla			
10.2307/802402	10.2307/802402	Drifts in the Current of Poetry and Criticism	A. H. R. Fairchild	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 445-456	National Council of Teachers of English	fla			
10.2307/802850	10.2307/802850	George Meredith the Novelist	Florence Mary Bennett	The English Journal	11	3	1922-03-01T00:00:00Z	pp. 140-149	National Council of Teachers of English	fla			
10.2307/802588	10.2307/802588	An English Teacher's Summer at Cambridge	Stella B. Finney	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 443-451	National Council of Teachers of English	fla			
10.2307/802651	10.2307/802651	Out-of-Class Reading of High-School Boys and Girls	Mabel Lodge	The English Journal	9	3	1920-03-01T00:00:00Z	pp. 174-176	National Council of Teachers of English	fla			
10.2307/802298	10.2307/802298	The Proverbial Plum	Helen M. Francis	The English Journal	13	8	1924-10-01T00:00:00Z	pp. 592-595	National Council of Teachers of English	fla			
10.2307/802295	10.2307/802295	An Approach to Poetry as Made by a Children's Librarian	Edith Ione Morrison	The English Journal	13	8	1924-10-01T00:00:00Z	pp. 579-583	National Council of Teachers of English	fla			
10.2307/802822	10.2307/802822	A Bit on the Project Method		The English Journal	13	3	1924-03-01T00:00:00Z	pp. 210-211	National Council of Teachers of English	fla			
10.2307/802031	10.2307/802031	The High-School Student and the Book	Stella Whittaker	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 581-591	National Council of Teachers of English	fla			
10.2307/802590	10.2307/802590	The Humanizing of Literature	Edwin Mims	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 460-465	National Council of Teachers of English	fla			
10.2307/802820	10.2307/802820	The Open Record Book	Helen Rand	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 206-209	National Council of Teachers of English	fla			
10.2307/802051	10.2307/802051	Standards for the English Teacher	Allan Abbott	The English Journal	11	2	1922-02-01T00:00:00Z	pp. 69-77	National Council of Teachers of English	fla			
10.2307/801903	10.2307/801903	An English Library Association	E. O. Franklin	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 73-74	National Council of Teachers of English	fla			
10.2307/802702	10.2307/802702	News-Story Form vs. Essay	Lawrence W. Murphy	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 318-321	National Council of Teachers of English	fla			
10.2307/802845	10.2307/802845	News and Notes	Harry G. Houghton, Claudia E. Crumpton	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 480-486	National Council of Teachers of English	mis			
10.2307/802859	10.2307/802859	News and Notes		The English Journal	11	3	1922-03-01T00:00:00Z	pp. 189-193	National Council of Teachers of English	mis			
10.2307/802900	10.2307/802900	A Problem in English Literature	Christine Kane	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 776-780	National Council of Teachers of English	fla			
10.2307/802561	10.2307/802561	Sunset on the Sea	F. H. Adler	The English Journal	13	4	1924-04-01T00:00:00Z	p. 285	National Council of Teachers of English	fla			
10.2307/802400	10.2307/802400	Back Matter		The English Journal	11	9	1922-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802217	10.2307/802217	A Painless Introduction to Lyric Poetry	Irma Eareckson	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 535-541	National Council of Teachers of English	fla			
10.2307/802748	10.2307/802748	Community English: A Means of Motivation for Oral and Written Composition	John D. Cooke	The English Journal	9	1	1920-01-01T00:00:00Z	pp. 20-24	National Council of Teachers of English	fla			
10.2307/802231	10.2307/802231	Front Matter		The English Journal	12	10	1923-12-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802812	10.2307/802812	Front Matter		The English Journal	13	3	1924-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802614	10.2307/802614	Making a Good Start	Margaret A. Ballantine	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 277-278	National Council of Teachers of English	fla			
10.2307/802751	10.2307/802751	Constitution of the National Council of Teachers of English		The English Journal	9	1	1920-01-01T00:00:00Z	pp. 57-59	National Council of Teachers of English	mis			
10.2307/802393	10.2307/802393	A Protest	A. Subscriber	The English Journal	11	9	1922-11-01T00:00:00Z	p. 583	National Council of Teachers of English	fla			
10.2307/802285	10.2307/802285	Editorial: What Is English?		The English Journal	9	10	1920-12-01T00:00:00Z	p. 600	National Council of Teachers of English	fla			
10.2307/802394	10.2307/802394	Editorial: Challenged!. What to Write about		The English Journal	11	9	1922-11-01T00:00:00Z	pp. 584-585	National Council of Teachers of English	fla			
10.2307/802985	10.2307/802985	Front Matter		The English Journal	10	5	1921-05-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802814	10.2307/802814	Out of Nothing into Somewhere	Zona Gale	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 176-179	National Council of Teachers of English	fla			
10.2307/802083	10.2307/802083	The Prescribed Work in College English: Its Relation to the Secondary Schools	Helen Sard Hughes	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 199-213	National Council of Teachers of English	fla			
10.2307/802086	10.2307/802086	Are Readers Born or Made?	Edith Cooke	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 228-231	National Council of Teachers of English	fla			
10.2307/802961	10.2307/802961	Of the Reading of Books	Lucy H. McDonald	The English Journal	10	2	1921-02-01T00:00:00Z	pp. 89-91	National Council of Teachers of English	fla			
10.2307/802525	10.2307/802525	There Are No Alps!	Pearl Hogrefe	The English Journal	10	6	1921-06-01T00:00:00Z	pp. 347-348	National Council of Teachers of English	fla			
10.2307/801928	10.2307/801928	A Funny Nap	C. C. Certain	The English Journal	12	8	1923-10-01T00:00:00Z	p. 563	National Council of Teachers of English	fla			
10.2307/802914	10.2307/802914	Front Matter		The English Journal	11	10	1922-12-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802824	10.2307/802824	Dramatizing Old English Ballads	Eva McKinley West	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 213-214	National Council of Teachers of English	fla			
10.2307/802794	10.2307/802794	Red-Letter Days	Helen J. Spinning	The English Journal	12	5	1923-05-01T00:00:00Z	pp. 344-346	National Council of Teachers of English	fla			
10.2307/802046	10.2307/802046	A Detailed Manual of Method	W. Wilbur Hatfield	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 645-646	National Council of Teachers of English	brv	The Teaching of English in the High School|Clarence Stratton		
10.2307/802856	10.2307/802856	Word Pictures	A. W. Burr	The English Journal	11	3	1922-03-01T00:00:00Z	pp. 181-183	National Council of Teachers of English	fla			
10.2307/801992	10.2307/801992	Front Matter		The English Journal	13	10	1924-12-01T00:00:00Z	p. 760	National Council of Teachers of English	mis			
10.2307/802673	10.2307/802673	Oral English and Rhetoric O	Marion Jewett Austin	The English Journal	11	1	1922-01-01T00:00:00Z	pp. 14-18	National Council of Teachers of English	fla			
10.2307/801929	10.2307/801929	Gesture-Language	Harry Glicksman	The English Journal	12	8	1923-10-01T00:00:00Z	pp. 564-566	National Council of Teachers of English	fla			
10.2307/802550	10.2307/802550	A Short Course in Straight Thinking	Hoxie Neale Fairchild	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 256-264	National Council of Teachers of English	fla			
10.2307/802422	10.2307/802422	Preparation of the English Composition Teacher	James F. Royster	The English Journal	12	6	1923-06-01T00:00:00Z	pp. 397-404	National Council of Teachers of English	fla			
10.2307/802997	10.2307/802997	News and Notes		The English Journal	10	5	1921-05-01T00:00:00Z	pp. 290-298	National Council of Teachers of English	mis			
10.2307/802639	10.2307/802639	Book Notices		The English Journal	13	2	1924-02-01T00:00:00Z	pp. 155-159	National Council of Teachers of English	mis			
10.2307/802529	10.2307/802529	Book Notices		The English Journal	10	6	1921-06-01T00:00:00Z	p. 366	National Council of Teachers of English	mis			
10.2307/802826	10.2307/802826	News and Notes	Clarence Stratton	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 217-222	National Council of Teachers of English	mis			
10.2307/802381	10.2307/802381	Book Notices		The English Journal	14	2	1925-02-01T00:00:00Z	pp. 169-172+174	National Council of Teachers of English	mis			
10.2307/802976	10.2307/802976	The Daily Grind	Maydell Murphy	The English Journal	9	9	1920-11-01T00:00:00Z	pp. 525-529	National Council of Teachers of English	fla			
10.2307/802731	10.2307/802731	The Library in the Junior High School	Marion Lovis	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 653-661	National Council of Teachers of English	fla			
10.2307/802252	10.2307/802252	Problem for Composition Teaching	A. Bess Clark	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 320-324	National Council of Teachers of English	fla			
10.2307/801970	10.2307/801970	Book Notices		The English Journal	12	3	1923-03-01T00:00:00Z	pp. 219-220+222	National Council of Teachers of English	mis			
10.2307/802604	10.2307/802604	Back Matter		The English Journal	14	6	1925-06-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802373	10.2307/802373	Restrictive and Non-Restrictive	Theodore Goodman	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 145-146	National Council of Teachers of English	fla			
10.2307/802160	10.2307/802160	Book Notices		The English Journal	9	7	1920-09-01T00:00:00Z	pp. 429-430	National Council of Teachers of English	mis			
10.2307/802289	10.2307/802289	Front Matter		The English Journal	13	8	1924-10-01T00:00:00Z	p. 617	National Council of Teachers of English	mis			
10.2307/802596	10.2307/802596	An Ivanhoe Scrapbook	Georgia I. Finley	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 485-486	National Council of Teachers of English	fla			
10.2307/802851	10.2307/802851	The Assault upon Formal Grammar Considered in Its Historical Setting	Stuart Grayson Noble	The English Journal	11	3	1922-03-01T00:00:00Z	pp. 150-158	National Council of Teachers of English	fla			
10.2307/802881	10.2307/802881	Sentence Outline, Outlined Sentence, and Parallel Structure	A. Starbuck	The English Journal	13	6	1924-06-01T00:00:00Z	pp. 408-412	National Council of Teachers of English	fla			
10.2307/802612	10.2307/802612	Keeping Office Hours with Your Mind	P. Casper Harvey	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 274-275	National Council of Teachers of English	fla			
10.2307/802817	10.2307/802817	More Illustrative Material for High-School Literature	Dora V. Smith	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 191-200	National Council of Teachers of English	mis			
10.2307/802759	10.2307/802759	Dramatic History through Construction	Nellie V. Pitts	The English Journal	11	7	1922-09-01T00:00:00Z	p. 429	National Council of Teachers of English	fla			
10.2307/802795	10.2307/802795	What Does It Mean?	Alma Elizabeth Gunning	The English Journal	12	5	1923-05-01T00:00:00Z	p. 346	National Council of Teachers of English	fla			
10.2307/802672	10.2307/802672	The Business of Running a School Paper	William Lewin	The English Journal	11	1	1922-01-01T00:00:00Z	pp. 8-13	National Council of Teachers of English	fla			
10.2307/802144	10.2307/802144	News and Notes		The English Journal	9	4	1920-04-01T00:00:00Z	pp. 233-240	National Council of Teachers of English	mis			
10.2307/802720	10.2307/802720	Those First Days of a School Semester!	John H. Moffat	The English Journal	10	10	1921-12-01T00:00:00Z	pp. 588-590	National Council of Teachers of English	fla			
10.2307/802754	10.2307/802754	American Authors of Today	Percy H. Boynton	The English Journal	11	7	1922-09-01T00:00:00Z	pp. 383-391	National Council of Teachers of English	fla			
10.2307/801880	10.2307/801880	Standard English in American Democracy	M. B. Ruud	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 283-287	National Council of Teachers of English	fla			
10.2307/801916	10.2307/801916	Editorial: The Remedy		The English Journal	9	6	1920-06-01T00:00:00Z	pp. 351-352	National Council of Teachers of English	fla			
10.2307/802524	10.2307/802524	American Ideals through Composition	Lillian E. Smith	The English Journal	10	6	1921-06-01T00:00:00Z	pp. 345-347	National Council of Teachers of English	fla			
10.2307/802209	10.2307/802209	A Gloomy Adventure Story		The English Journal	12	2	1923-02-01T00:00:00Z	p. 149	National Council of Teachers of English	brv	The Bright Shawl|Joseph Hergesheimer		
10.2307/802600	10.2307/802600	News and Notes	Paul V. West	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 489-495	National Council of Teachers of English	mis			
10.2307/802125	10.2307/802125	The Advance of English Speech among Negroes in the United States	Charles Eaton Burch	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 222-225	National Council of Teachers of English	fla			
10.2307/802005	10.2307/802005	Editorial: Using Our Present Knowledge		The English Journal	13	10	1924-12-01T00:00:00Z	p. 746	National Council of Teachers of English	fla			
10.2307/802761	10.2307/802761	Teaching the Iliad	Lucy Welty	The English Journal	11	7	1922-09-01T00:00:00Z	p. 431	National Council of Teachers of English	fla			
10.2307/802341	10.2307/802341	Creative Writing in High School	Jane Souba	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 591-602	National Council of Teachers of English	fla			
10.2307/802035	10.2307/802035	English for the Inferior Section of the Ninth Grade	Louise Anderson MacDonald	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 611-616	National Council of Teachers of English	fla			
10.2307/802191	10.2307/802191	Book Notices		The English Journal	9	5	1920-05-01T00:00:00Z	pp. 301-303	National Council of Teachers of English	mis			
10.2307/802413	10.2307/802413	Our Debt to Greece and Rome	Clarence Stratton	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 520-523	National Council of Teachers of English	brv	Warfare|E. S. McCartney, Roman Politics|F. F. Abbott, Greek Religion|W. W. Hyde, Language and Philology|R. G. Kent, Horace|Grant Showerman, Virgil|J. W. MacKail, Catullus|K. P. Harrington, Euripides|F. L. Lucas, Aristotle's Poetics|Lane Cooper		
10.2307/802019	10.2307/802019	Celebrating Thanksgiving	Ruth Evelyn Henderson	The English Journal	14	9	1925-11-01T00:00:00Z	pp. 711-718	National Council of Teachers of English	fla			
10.2307/802431	10.2307/802431	Editorial: Mistaken Notions		The English Journal	12	6	1923-06-01T00:00:00Z	p. 422	National Council of Teachers of English	fla			
10.2307/801945	10.2307/801945	Imagination in Americanization	Garry C. Myers	The English Journal	11	8	1922-10-01T00:00:00Z	pp. 504-506	National Council of Teachers of English	fla			
10.2307/802644	10.2307/802644	Teaching Children to Choose	Fannie M. Clark	The English Journal	9	3	1920-03-01T00:00:00Z	pp. 135-146	National Council of Teachers of English	fla			
10.2307/802001	10.2307/802001	Putting New Values into Local Color	Glenn Clark	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 738-741	National Council of Teachers of English	fla			
10.2307/802260	10.2307/802260	A Contrast	V. C. Coulter	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 345-346	National Council of Teachers of English	fla			
10.2307/802401	10.2307/802401	Front Matter		The English Journal	13	7	1924-09-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802839	10.2307/802839	Check Sheets for the Oral Inventory	S. A. Leonard	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 469-471	National Council of Teachers of English	fla			
10.2307/802351	10.2307/802351	The Chaucer Club	Mary Sylvester Cline	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 648-649	National Council of Teachers of English	fla			
10.2307/802297	10.2307/802297	Symposium: Habit-Building in Spoken Language	Thomas C. Blaisdell, C. A. Cockayne, Ida T. Jacobs, Charles S. Pendleton	The English Journal	13	8	1924-10-01T00:00:00Z	pp. 584-592	National Council of Teachers of English	fla			
10.2307/802823	10.2307/802823	Inferences from Standard Tests	Mary P. Aiken, Margaret Richardson	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 211-212	National Council of Teachers of English	fla			
10.2307/801952	10.2307/801952	Book Notices		The English Journal	11	8	1922-10-01T00:00:00Z	p. 526	National Council of Teachers of English	mis			
10.2307/802269	10.2307/802269	America Psychoanalyzed	Ellen Fitzgerald	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 361-363	National Council of Teachers of English	brv	Studies in Classic American Literature|D. H. Lawrence		
10.2307/802416	10.2307/802416	Book Notices		The English Journal	13	7	1924-09-01T00:00:00Z	pp. 525-530	National Council of Teachers of English	mis			
10.2307/802642	10.2307/802642	Americanization in Omaha	Ella Thorngate	The English Journal	9	3	1920-03-01T00:00:00Z	pp. 123-128	National Council of Teachers of English	fla			
10.2307/802721	10.2307/802721	The Study Club: Poetry and Prose	R. R. Kirk	The English Journal	10	10	1921-12-01T00:00:00Z	pp. 591-593	National Council of Teachers of English	fla			
10.2307/802214	10.2307/802214	Traditional Notions about Jonathan Swift	F. M. Darnall	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 514-521	National Council of Teachers of English	fla			
10.2307/802566	10.2307/802566	Success and the Unsuccessful	E. D. C.	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 295-296	National Council of Teachers of English	brv	Young Felix|Frank Swinnerton		
10.2307/802726	10.2307/802726	Front Matter		The English Journal	13	9	1924-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802129	10.2307/802129	A Contemporary English Poet in a School Edition	Geraldine P. Dilla	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 236-237	National Council of Teachers of English	brv	Wilfrid Wilson Gibson: Twenty-Three Selected Poems|Wilfrid Wilson Gibson		
10.2307/802838	10.2307/802838	Dramatics in the High School	Harry Andrews	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 465-468	National Council of Teachers of English	fla			
10.2307/801905	10.2307/801905	A General Psychological Reagent	W. Wilbur Hatfield	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 84-85	National Council of Teachers of English	brv	A Son at the Front|Edith Wharton		
10.2307/802365	10.2307/802365	The New Life		The English Journal	14	2	1925-02-01T00:00:00Z	p. 125	National Council of Teachers of English	fla			
10.2307/802948	10.2307/802948	Front Matter		The English Journal	10	1	1921-01-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802637	10.2307/802637	Smaller Classes or Larger?	W. Wilbur Hatfield	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 152-153	National Council of Teachers of English	brv	Smaller Classes or Larger. A Study of the Relation of Class-Size to the Efficiency of Teaching|P. R. Stevenson		
10.2307/802219	10.2307/802219	A Program for October 12: Discovering with Columbus	Ruth Evelyn Henderson	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 546-550	National Council of Teachers of English	fla			
10.2307/802336	10.2307/802336	Promising Re-Beginnings in Grammar	Sterling Andrus Leonard	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 426-428	National Council of Teachers of English	brv	What and When in Grammar in Terms of Usage|W. J. Osburn, How Much English Grammar?|Martin James Stormzand;M. V. O'Shea		
10.2307/802049	10.2307/802049	Back Matter		The English Journal	12	9	1923-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802586	10.2307/802586	Front Matter		The English Journal	14	6	1925-06-01T00:00:00Z	p. 503	National Council of Teachers of English	mis			
10.2307/802343	10.2307/802343	News-Writing as an Asset to the English Course	Evaline Harrington	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 615-621	National Council of Teachers of English	fla			
10.2307/802756	10.2307/802756	Material for the Teaching of Spelling	John A. Lester	The English Journal	11	7	1922-09-01T00:00:00Z	pp. 404-413	National Council of Teachers of English	fla			
10.2307/802949	10.2307/802949	The National Council of Teachers of English	James Fleming Hosic	The English Journal	10	1	1921-01-01T00:00:00Z	pp. 1-10	National Council of Teachers of English	mis			
10.2307/802429	10.2307/802429	Books in Our Pupils' Homes	Mary Sylvester Cline	The English Journal	12	6	1923-06-01T00:00:00Z	pp. 419-421	National Council of Teachers of English	fla			
10.2307/802121	10.2307/802121	A Co-operative Course in English Composition for Students in Technical Courses	Edward A. Duddy	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 201-207	National Council of Teachers of English	fla			
10.2307/802643	10.2307/802643	Better-English Clubs	Claudia E. Crumpton	The English Journal	9	3	1920-03-01T00:00:00Z	pp. 129-134	National Council of Teachers of English	fla			
10.2307/802455	10.2307/802455	The Public Contacts of the English Teacher	J. W. Searson	The English Journal	12	7	1923-09-01T00:00:00Z	pp. 450-459	National Council of Teachers of English	fla			
10.2307/801897	10.2307/801897	Correcting and Grading Themes	Hilda Jane Holley	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 29-34	National Council of Teachers of English	fla			
10.2307/802034	10.2307/802034	A Doctrine of the Paragraph	Charles E. Whitmore	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 605-610	National Council of Teachers of English	fla			
10.2307/802456	10.2307/802456	The Criticism and Teaching of Contemporary Literature	Harry T. Baker	The English Journal	12	7	1923-09-01T00:00:00Z	pp. 459-463	National Council of Teachers of English	fla			
10.2307/802968	10.2307/802968	News and Notes	E. C. Baldwin, Walter F. Beverly	The English Journal	10	2	1921-02-01T00:00:00Z	pp. 102-113	National Council of Teachers of English	mis			
10.2307/803010	10.2307/803010	Shakespeare and Zane Gray	James Cloyd Bowman	The English Journal	10	9	1921-11-01T00:00:00Z	pp. 533-534	National Council of Teachers of English	fla			
10.2307/802730	10.2307/802730	More Experiments with Scales	Carrie Barden	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 648-653	National Council of Teachers of English	fla			
10.2307/802734	10.2307/802734	A Shakespeare Commemoration Volume	Dora M. Davis	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 668-671	National Council of Teachers of English	fla			
10.2307/803005	10.2307/803005	The Best Students and the Worst Students	Alice D. Snyder	The English Journal	10	9	1921-11-01T00:00:00Z	pp. 505-510	National Council of Teachers of English	fla			
10.2307/802704	10.2307/802704	A Project for an Assembly	Addie E. Bettes	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 323-324	National Council of Teachers of English	fla			
10.2307/802342	10.2307/802342	Notes after Teaching Homer	Bertha Evans Ward	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 602-614	National Council of Teachers of English	fla			
10.2307/802664	10.2307/802664	Laboratory Work Once More	E. Dudley Parsons	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 471-473	National Council of Teachers of English	fla			
10.2307/802225	10.2307/802225	News and Notes	Clarence Stratton	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 558-572	National Council of Teachers of English	mis			
10.2307/802250	10.2307/802250	The Younger Woman Poets	Llewellyn Jones	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 301-310	National Council of Teachers of English	fla			
10.2307/802555	10.2307/802555	An Illuminating Experience with a Class in English Literature	Dorothy Weller	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 274-276	National Council of Teachers of English	fla			
10.2307/802543	10.2307/802543	A Book That Is a Book	Elvira D. Cabell	The English Journal	11	6	1922-06-01T00:00:00Z	p. 379	National Council of Teachers of English	brv	Poems of the War and the Peace|Sterling Andrus Leonard		
10.2307/801980	10.2307/801980	The Night	Frederick Herbert Adler	The English Journal	14	3	1925-03-01T00:00:00Z	p. 232	National Council of Teachers of English	fla			
10.2307/802424	10.2307/802424	An Old Picture	Florence E. Barns	The English Journal	12	6	1923-06-01T00:00:00Z	p. 406	National Council of Teachers of English	fla			
10.2307/802256	10.2307/802256	Lecture Period	Ruth Evelyn Henderson	The English Journal	13	5	1924-05-01T00:00:00Z	p. 340	National Council of Teachers of English	fla			
10.2307/803002	10.2307/803002	Front Matter		The English Journal	10	9	1921-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802415	10.2307/802415	A Useful Text for Junior High Schools	Stella S. Center	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 524-525	National Council of Teachers of English	brv	Junior English|Rose Buhlig		
10.2307/802047	10.2307/802047	The Art of Public Reading	Gertrude E. Johnson	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 646-647	National Council of Teachers of English	brv	The Art of Acting and Public Reading|Rollo A. Tallcott		
10.2307/802989	10.2307/802989	Teaching Beginners to Write the Short-Story	Horace W. Morelock	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 262-267	National Council of Teachers of English	fla			
10.2307/802907	10.2307/802907	A Note on the Problem of Tragedy	Carll Whitman Doxsee	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 805-808	National Council of Teachers of English	fla			
10.2307/802192	10.2307/802192	Back Matter		The English Journal	9	5	1920-05-01T00:00:00Z	p. 304	National Council of Teachers of English	mis			
10.2307/802640	10.2307/802640	Back Matter		The English Journal	13	2	1924-02-01T00:00:00Z	p. 160	National Council of Teachers of English	mis			
10.2307/802274	10.2307/802274	Front Matter		The English Journal	9	10	1920-12-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802662	10.2307/802662	English in the Junior High School	Thomas H. Briggs	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 467-469	National Council of Teachers of English	fla			
10.2307/802036	10.2307/802036	Sentence Length	Harold H. Scudder	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 617-620	National Council of Teachers of English	fla			
10.2307/802185	10.2307/802185	Help and Be Helped!	Claudia E. Crumpton	The English Journal	9	5	1920-05-01T00:00:00Z	pp. 284-286	National Council of Teachers of English	fla			
10.2307/802649	10.2307/802649	The Library Hour in the Normal School	Edith W. Moses	The English Journal	9	3	1920-03-01T00:00:00Z	pp. 170-172	National Council of Teachers of English	fla			
10.2307/802674	10.2307/802674	The Bones of Dreams	Robert Withington	The English Journal	11	1	1922-01-01T00:00:00Z	pp. 19-22	National Council of Teachers of English	fla			
10.2307/802061	10.2307/802061	My Hobby		The English Journal	11	2	1922-02-01T00:00:00Z	p. 114	National Council of Teachers of English	fla			
